Name,Year Published,Play Time,Users Rated
Gloomhaven,2017,120,42055
Pandemic Legacy: Season 1,2015,60,41643
Brass: Birmingham,2018,120,19217
Terraforming Mars,2016,120,64864
Twilight Imperium: Fourth Edition,2017,480,13468
Gloomhaven: Jaws of the Lion,2020,120,8392
Through the Ages: A New Story of Civilization,2015,120,23061
Gaia Project,2017,150,16352
Star Wars: Rebellion,2016,240,23081
Twilight Struggle,2005,180,40814
Great Western Trail,2016,150,29457
War of the Ring: Second Edition,2012,180,13725
Spirit Island,2017,120,25722
Scythe,2016,115,57871
The Castles of Burgundy,2011,90,46507
Terra Mystica,2012,150,39284
7 Wonders Duel,2015,30,60302
Concordia,2013,100,28105
Brass: Lancashire,2007,120,19400
Wingspan,2019,70,43165
A Feast for Odin,2016,120,17377
Arkham Horror: The Card Game,2016,120,28577
Viticulture Essential Edition,2015,90,29486
Nemesis,2018,180,12290
Orléans,2014,90,22244
Mage Knight Board Game,2011,240,27850
Root,2018,90,24412
Puerto Rico,2002,150,63128
Food Chain Magnate,2015,240,13863
Caverna: The Cave Farmers,2013,210,28123
Agricola,2007,150,63498
Blood Rage,2015,90,33940
Mansions of Madness: Second Edition,2016,180,25116
The 7th Continent,2017,1000,16868
Pandemic Legacy: Season 2,2017,60,12100
Everdell,2018,80,19552
Maracaibo,2019,120,7645
Kingdom Death: Monster,2015,180,7553
Power Grid,2004,120,56214
Tzolk'in: The Mayan Calendar,2012,90,30790
The Crew: The Quest for Planet Nine,2019,20,15027
Mechs vs. Minions,2016,120,14056
Underwater Cities,2018,150,9979
Star Wars: Imperial Assault,2014,120,20512
Clans of Caledonia,2017,120,14835
Anachrony,2017,120,11585
Le Havre,2008,150,26494
Too Many Bones,2017,120,6055
Through the Ages: A Story of Civilization,2006,120,18004
Azul,2017,45,53615
Marvel Champions: The Card Game,2019,90,9616
Eclipse,2011,180,26165
Clank! Legacy: Acquisitions Incorporated,2019,120,3295
Android: Netrunner,2012,45,26748
Robinson Crusoe: Adventures on the Cursed Island,2012,120,34179
The Voyages of Marco Polo,2015,100,20240
The Gallerist,2015,150,9705
Barrage,2019,120,6500
Race for the Galaxy,2007,60,46393
Fields of Arle,2014,120,8111
7 Wonders,2010,30,84371
Teotihuacan: City of Gods,2018,120,12970
Clank!: A Deck-Building Adventure,2016,60,27893
The Quacks of Quedlinburg,2018,45,22327
Crokinole,1876,30,12197
Five Tribes,2014,80,32265
Dominant Species,2010,240,18018
On Mars,2020,150,5781
Lisboa,2017,120,6693
Aeon's End,2016,60,10899
Lords of Waterdeep,2012,120,45929
Paladins of the West Kingdom,2019,120,8248
Keyflower,2012,120,19003
Agricola (Revised Edition),2016,120,9491
Pax Pamir: Second Edition,2019,120,4373
Tainted Grail: The Fall of Avalon,2019,120,6134
Caylus,2005,150,26796
Architects of the West Kingdom,2018,80,16886
El Grande,1995,120,23545
Twilight Imperium: Third Edition,2005,240,18302
Battlestar Galactica: The Board Game,2008,180,32889
Eldritch Horror,2013,240,29347
Troyes,2010,90,18930
Rising Sun,2018,120,15767
Dominion: Intrigue,2009,30,30118
Mombasa,2015,150,10954
Grand Austria Hotel,2015,120,12604
The Lord of the Rings: Journeys in Middle-Earth,2019,120,8822
Patchwork,2014,30,46536
Raiders of the North Sea,2015,80,15990
Russian Railroads,2013,120,14845
Tigris & Euphrates,1997,90,25321
Codenames,2015,15,67688
Roll for the Galaxy,2014,45,26421
Trajan,2011,120,14728
Lorenzo il Magnifico,2016,120,9140
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,120,17236
Dominion,2008,30,78089
Pandemic,2008,45,102214
Pandemic: Iberia,2016,45,8359
Champions of Midgard,2015,90,13345
Decrypto,2018,45,11690
Kemet,2012,120,16277
Yokohama,2016,90,8865
Clank! In! Space!: A Deck-Building Adventure,2017,90,9188
Forbidden Stars,2015,180,7516
Inis,2016,90,12665
The Isle of Cats,2019,90,6450
Star Wars: X-Wing Miniatures Game,2012,45,23061
Alchemists,2014,120,18250
Stone Age,2008,90,44975
Legendary Encounters: An Alien Deck Building Game,2014,60,11251
Vinhos Deluxe Edition,2016,135,4245
Endeavor: Age of Sail,2018,90,6265
Star Realms,2014,20,35947
Descent: Journeys in the Dark (Second Edition),2012,120,22715
Cartographers,2019,45,10754
Res Arcana,2019,60,9719
Age of Steam,2002,120,8871
Istanbul,2014,60,25234
Ticket to Ride: Europe,2005,60,58608
Dead of Winter: A Crossroads Game,2014,120,39287
Targi,2012,60,14592
War of the Ring,2004,120,9935
Chaos in the Old World,2009,120,14297
Welcome To...,2018,25,17370
That's Pretty Clever!,2018,30,14352
Trickerion: Legends of Illusion,2015,180,6665
The Lord of the Rings: The Card Game,2011,60,20805
Railways of the World,2005,120,11039
The Resistance: Avalon,2012,30,27134
Aeon's End: War Eternal,2017,60,3191
Dinosaur Island,2017,120,11559
